date,C,C++,Java,PHP,Ruby,Python,SQL,Javascript
"200807","0","0","3","0","0","0","0","0"
"200808","89","166","505","162","75","129","149","165"
"200809","336","771","1652","493","291","544","501","641"
"200810","305","814","1992","625","253","516","540","723"
"200811","262","742","1729","508","161","456","413","573"
"200812","189","639","1596","481","163","446","426","630"
"200901","326","864","2381","646","211","637","588","790"
"200902","334","858","2609","777","289","640","669","952"
"200903","436","1063","3165","909","331","768","663","1010"
"200904","464","1029","3332","978","359","770","743","1054"
"200905","483","1232","3570","1191","407","1003","847","1436"
"200906","509","1268","3897","1587","434","1046","928","1561"
"200907","547","1474","4415","2045","505","1172","1086","1751"
"200908","535","1420","4465","2207","486","1146","1031","1865"
"200909","581","1473","4376","2283","481","1177","1361","1751"
"200910","781","1702","4745","2386","493","1430","1480","2038"
"200911","982","1772","4703","2713","662","1575","1219","2232"
"200912","860","1668","4515","2847","572","1600","1187","2305"
"201001","996","2001","5155","3469","690","1961","1261","2622"
"201002","1046","2290","5139","3187","695","1875","1294","2649"
"201003","1134","2453","6095","3775","697","2084","1469","2989"
"201004","1190","2510","5826","3683","757","1829","1327","3034"
"201005","1193","2426","5994","4021","782","2029","1452","3236"
"201006","1173","2848","6205","4142","865","2235","1636","3500"
"201007","1299","2711","6765","4679","919","2636","1844","3901"
"201008","1391","2672","7069","5232","1009","2514","1927","4054"
"201009","1402","2767","6490","4769","949","2272","1751","4063"
"201010","1466","2977","6822","4599","930","2694","1864","4173"
"201011","1685","3402","7414","5222","936","2637","1985","4612"
"201012","1483","3171","7195","5498","1030","2515","1901","5027"
"201101","1488","3541","8104","6549","1213","2938","2362","5514"
"201102","1654","3492","8347","6846","1260","3047","2138","5672"
"201103","2118","4227","10124","8288","1653","3789","2675","6855"
"201104","2062","4226","9405","7827","1484","3381","2310","7034"
"201105","1852","3952","10182","8244","1575","3552","2723","7402"
"201106","1785","3860","9909","8171","1571","3496","2667","7781"
"201107","1679","3900","9767","8860","1600","3709","2695","8187"
"201108","1835","4001","10198","9120","1883","3866","2690","9015"
"201109","1930","3984","9434","8275","1566","3543","2605","8306"
"201110","2157","4398","9350","8244","1621","3663","2607","8131"
"201111","2232","4544","10023","8880","1759","3906","2858","8790"
"201112","2034","4430","9456","8508","1715","3656","2608","8412"
"201201","2257","4633","10591","9523","1930","4243","2813","9712"
"201202","2438","5177","10922","10157","2057","4535","3171","10130"
"201203","2777","5315","11842","11181","2224","5086","3639","10885"
"201204","2705","5394","11337","10697","2003","4972","3372","10861"
"201205","2517","5071","11791","11221","2018","5161","3530","11715"
"201206","2354","4723","11517","10861","1909","5323","3341","11417"
"201207","2418","5379","12585","12067","2088","5803","3754","12544"
"201208","2359","5251","12153","12234","2091","5907","3723","12635"
"201209","2581","4986","11428","11223","1973","5315","3638","11312"
"201210","3204","5998","12938","12072","2284","6199","4137","12581"
"201211","3238","6365","12412","12119","2148","6465","4373","12536"
"201212","2618","5780","11139","11392","1921","5817","3909","11921"
"201301","2957","6139","13031","13219","2331","6657","4698","14048"
"201302","3158","6206","12797","13012","2264","6830","4619","13993"
"201303","3517","7347","14541","14643","2600","7737","5296","15620"
"201304","3609","7274","14171","13860","2505","8022","5101","15643"
"201305","3261","6939","13676","13476","2364","7892","5020","15204"
"201306","3002","6274","12972","13027","2244","7672","4775","14771"
"201307","3079","6648","14388","14680","2461","8676","5448","17033"
"201308","3048","6320","14013","14631","2503","7994","5404","17038"
"201309","3458","6638","13941","14604","2413","8038","5943","17920"
"201310","4315","8098","15372","15747","2803","9586","6896","19971"
"201311","4345","8238","14763","15248","2592","9580","6613","18736"
"201312","3579","7123","13811","14793","2466","8548","6308","18245"
"201401","3801","7793","15571","17283","2788","9927","7115","21369"
"201402","4036","7791","15313","17010","2640","9993","7018","21428"
"201403","4661","8805","16431","18854","2969","11526","7829","22988"
"201404","4102","8258","15553","18197","2762","10903","7901","21753"
"201405","3333","6912","14142","15234","2684","9374","6860","20110"
"201406","2827","5820","12748","13424","2355","9013","6447","18609"
"201407","2893","6392","13938","14701","2571","10051","6942","20402"
"201408","2721","6002","12702","13602","2482","9228","6289","18769"
"201409","3295","6350","12540","13755","2284","8903","6408","18378"
"201410","3872","6966","12782","14012","2356","9729","5507","19219"
"201411","3741","6726","12097","13423","2128","9710","4322","18296"
"201412","3226","6212","11312","12787","2171","9170","4250","17291"
"201501","3363","6599","13036","15131","2643","10471","4674","20567"
"201502","3515","6932","13166","15015","2489","11078","4629","20757"
"201503","4119","7979","14874","16714","2664","12566","5256","22995"
"201504","4150","7659","14487","16498","2710","12300","5075","22935"
"201505","3700","7339","14701","16027","2706","12051","4884","24294"
"201506","3298","7078","15000","16033","2798","12768","4936","24992"
"201507","2960","7209","15709","17177","2763","13428","5140","26533"
"201508","2712","6372","14654","15916","2498","12204","4678","24566"
"201509","3230","6380","14341","15193","2316","11870","4544","23841"
"201510","3865","7635","14406","15615","2379","13695","4684","24388"
"201511","3830","7693","13989","14994","2160","13446","4603","23882"
"201512","3480","7603","14459","16711","2280","13336","4661","24593"
"201601","173","344","553","844","92","591","167","1009"
