date,Java,C,C++,C#,Python,PHP,Visual Basic .NET,JavaScript,Assembly language,Ruby
20010630,26.492,20.24,14.2,0.385,1.25,1.897,,1.547,,
20010730,25.028,20.773,16.111,0.429,1.135,1.378,,1.723,,
20010830,24.66,20.747,16.124,0.384,1.197,1.553,,1.66,,
20010928,24.817,20.772,15.852,0.391,1.17,1.552,,1.629,,
20011026,25.676,19.751,16.097,0.424,1.284,1.778,,1.511,,
20011128,24.369,19.212,15.673,0.764,1.234,4.874,,1.466,,
20011231,24.195,20.136,14.963,0.591,1.043,7.274,,1.456,,
20020130,24.063,18.825,15.182,0.616,1.017,8.274,,2.725,,
20020227,24.005,19.888,15.537,0.744,0.987,7.442,,1.476,,0.19
20020329,24.409,19.852,15.912,0.741,0.989,7.029,,1.468,,0.189
20020429,25.049,19.82,15.372,1.178,1.069,5.049,,1.366,,0.43
20020529,25.195,19.987,14.857,1.164,1.057,5.215,,1.363,,0.426
20020629,24.196,19.573,14.179,1.464,1.125,5.178,,1.433,,0.441
20020731,24.534,19.251,14.939,1.36,1.081,6.498,,1.154,,0.394
20020829,22.886,18.162,14.769,1.464,1.217,5.349,,2.022,,0.383
20020929,24.482,18.695,15.897,1.653,1.081,4.96,,1.908,,0.372
20021030,24.201,18.727,15.035,1.78,1.187,5.275,,1.978,,0.356
20021129,24.116,17.505,13.644,2.38,1.005,7.298,,2.486,,0.331
20021231,24.227,17.259,13.186,2.455,1.002,7.611,,2.423,,0.309
20030131,24.791,18.249,14.634,1.986,1.033,4.493,,2.915,,0.326
20030228,24.775,18.54,15.533,1.976,0.974,4.009,,2.806,,0.306
20030331,24.596,17.213,14.572,2.377,0.988,4.606,,2.626,,0.289
20030430,24.664,18.017,15.801,1.884,1.007,4.533,,3.256,,0.227
20030530,23.108,18.501,15.584,1.935,1.161,4.783,,1.715,,0.25
20030630,22.337,18.516,16.719,1.776,1.285,3.833,,1.686,,0.189
20030731,23.209,17.969,16.577,2.001,1.297,4.679,,1.791,,0.189
20030831,22.242,17.776,17.531,2.062,1.425,5.436,,1.897,,0.192
20030930,21.902,18.309,16.173,1.94,1.486,5.795,,1.656,,0.191
20031031,23.084,17.002,16.312,1.899,1.766,3.57,,1.918,,0.259
20031130,25.008,18.473,17.422,1.705,1.097,5.736,,1.738,,0.162
20031231,23.573,18.6,16.083,1.799,1.125,6.311,,1.745,,0.159
20040131,22.564,18.195,15.71,2.177,1.006,7.257,,2.138,,0.147
20040229,23.173,18.928,14.5,2.237,1.018,7.631,,2.063,,0.157
20040331,24.24,17.75,15.99,2.137,1.008,9.761,,1.783,,0.196
20040430,18.692,17.951,12.27,1.877,4.565,7.171,,1.778,,0.153
20040530,17.539,18.29,12.548,1.649,6.579,8.71,,1.45,,0.162
20040630,17.055,17.144,13.442,1.666,4.963,10.323,,1.61,,0.155
20040731,16.997,16.335,15.306,1.633,4.704,10.427,,1.681,,0.154
20040830,15.896,17.122,14.916,1.634,5.597,8.231,,1.51,,0.124
20040930,17.05,18.172,15.016,1.644,4.438,7.421,,1.267,,0.176
20041031,14.804,17.992,13.865,1.504,5.2,7.586,,1.195,,0.176
20041130,16.332,19.696,11.914,1.947,3.029,11.448,,1.595,,0.222
20041231,17.478,20.709,11.927,2.203,2.842,9.482,,1.703,,0.241
20050131,18.34,19.82,11.337,2.363,2.506,10.278,,1.779,,0.236
20050228,18.871,19.465,11.632,2.527,2.424,9.41,,1.65,,0.285
20050331,16.981,18.63,10.191,2.82,2.697,8.724,,1.642,,0.297
20050430,17.397,18.522,9.903,2.767,2.48,9.201,,1.443,,0.314
20050531,18.569,19.368,9.722,2.783,2.802,7.974,,1.387,,0.379
20050630,19.659,19.846,11.06,3.142,2.525,9.172,,1.779,,0.303
20050731,21.206,19.473,10.514,3.485,2.883,7.873,,1.921,,0.266
20050831,22.442,19.16,11.168,3.29,3.032,8.895,,1.768,,0.29
20050930,21.871,18.773,11.82,3.462,2.882,9.671,,2.036,,0.32
20051203,22.128,19.632,11.027,3.31,2.678,9.629,,1.838,,0.318
20060104,22.255,19.008,11.465,3.555,2.605,9.402,,1.538,,0.371
